NGO_Name,state,Primary_SDG,Annual_Budget,Data_Assets,Infrastructure_Gap,Debt_Sensitivity,ZOPA_Flexibility
Bharat_Impact_NGO_0195,Karnataka,SDG 17: Partnerships,1590979,Traditional Craft Knowledge,Smart Village Grids,Low,0.25
Bharat_Impact_NGO_0196,Bihar,SDG 9: Industry & Innovation,1320205,Traditional Craft Knowledge,Smart Village Grids,Medium,0.3
Bharat_Impact_NGO_0197,Uttar Pradesh,SDG 13: Climate Action,2097836,Vernacular Language Datasets,Last-mile Fiber (BharatNet),Medium,0.55
Bharat_Impact_NGO_0198,Bihar,SDG 9: Industry & Innovation,1207657,Traditional Craft Knowledge,Smart Village Grids,Low,0.52
Bharat_Impact_NGO_0199,Karnataka,SDG 13: Climate Action,4130327,Traditional Craft Knowledge,Smart Village Grids,Medium,0.43
Bharat_Impact_NGO_0200,Maharashtra,SDG 17: Partnerships,4156074,Rural Land Records,Vernacular AI Models,High,0.22
Bharat_Impact_NGO_0201,Odisha,SDG 4: Quality Education,1519517,Vernacular Language Datasets,Vernacular AI Models,Low,0.8
Bharat_Impact_NGO_0202,Bihar,SDG 17: Partnerships,4844269,Rural Land Records,Agri-Tech Sensors,Medium,0.75
Bharat_Impact_NGO_0203,Bihar,SDG 17: Partnerships,4639309,Rural Land Records,Last-mile Fiber (BharatNet),High,0.71
Bharat_Impact_NGO_0204,Gujarat,SDG 4: Quality Education,1077306,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),Low,0.71
Bharat_Impact_NGO_0205,Gujarat,SDG 9: Industry & Innovation,672455,Localized Crop Yield Data,Agri-Tech Sensors,Medium,0.72
Bharat_Impact_NGO_0206,West Bengal,SDG 4: Quality Education,4673905,Localized Crop Yield Data,Last-mile Fiber (BharatNet),Low,0.22
Bharat_Impact_NGO_0207,Maharashtra,SDG 17: Partnerships,3733053,Localized Crop Yield Data,Agri-Tech Sensors,Low,0.18
Bharat_Impact_NGO_0208,Uttar Pradesh,SDG 9: Industry & Innovation,2145366,Localized Crop Yield Data,Agri-Tech Sensors,Low,0.73
Bharat_Impact_NGO_0209,Kerala,SDG 4: Quality Education,2719253,Localized Crop Yield Data,Vernacular AI Models,Medium,0.41
Bharat_Impact_NGO_0210,Kerala,SDG 4: Quality Education,2570548,Localized Crop Yield Data,Last-mile Fiber (BharatNet),High,0.38
Bharat_Impact_NGO_0211,West Bengal,SDG 4: Quality Education,1221185,Rural Land Records,Smart Village Grids,Medium,0.76
Bharat_Impact_NGO_0212,Karnataka,SDG 13: Climate Action,3580968,Rural Land Records,Vernacular AI Models,Low,0.23
Bharat_Impact_NGO_0213,Maharashtra,SDG 4: Quality Education,645378,Self-Help Group (SHG) Networks,Vernacular AI Models,Low,0.69
Bharat_Impact_NGO_0214,Tamil Nadu,SDG 17: Partnerships,2110144,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),High,0.73
Bharat_Impact_NGO_0215,Bihar,SDG 4: Quality Education,2179120,Rural Land Records,Smart Village Grids,Low,0.69
Bharat_Impact_NGO_0216,Tamil Nadu,SDG 17: Partnerships,2897615,Vernacular Language Datasets,Vernacular AI Models,High,0.87
Bharat_Impact_NGO_0217,Tamil Nadu,SDG 9: Industry & Innovation,1612503,Localized Crop Yield Data,Last-mile Fiber (BharatNet),High,0.54
Bharat_Impact_NGO_0218,Maharashtra,SDG 17: Partnerships,2086667,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),High,0.77
Bharat_Impact_NGO_0219,Maharashtra,SDG 9: Industry & Innovation,2736665,Rural Land Records,Tier-3 City Cloud Infrastructure,Medium,0.87
Bharat_Impact_NGO_0220,Bihar,SDG 17: Partnerships,811403,Localized Crop Yield Data,Agri-Tech Sensors,Medium,0.32
Bharat_Impact_NGO_0221,Kerala,SDG 9: Industry & Innovation,2029946,Rural Land Records,Vernacular AI Models,Low,0.59
Bharat_Impact_NGO_0222,Maharashtra,SDG 4: Quality Education,2495209,Vernacular Language Datasets,Tier-3 City Cloud Infrastructure,High,0.12
Bharat_Impact_NGO_0223,Uttar Pradesh,SDG 17: Partnerships,624792,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,Low,0.21
Bharat_Impact_NGO_0224,Odisha,SDG 17: Partnerships,2767084,Self-Help Group (SHG) Networks,Agri-Tech Sensors,Low,0.6
Bharat_Impact_NGO_0225,Bihar,SDG 9: Industry & Innovation,4701879,Localized Crop Yield Data,Agri-Tech Sensors,Low,0.43
Bharat_Impact_NGO_0226,Gujarat,SDG 4: Quality Education,987800,Vernacular Language Datasets,Last-mile Fiber (BharatNet),Low,0.72
Bharat_Impact_NGO_0227,Maharashtra,SDG 17: Partnerships,2953697,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),High,0.45
Bharat_Impact_NGO_0228,West Bengal,SDG 17: Partnerships,3421831,Rural Land Records,Tier-3 City Cloud Infrastructure,High,0.65
Bharat_Impact_NGO_0229,Tamil Nadu,SDG 17: Partnerships,644171,Traditional Craft Knowledge,Vernacular AI Models,Medium,0.53
Bharat_Impact_NGO_0230,Kerala,SDG 17: Partnerships,1467854,Vernacular Language Datasets,Last-mile Fiber (BharatNet),High,0.88
Bharat_Impact_NGO_0231,West Bengal,SDG 13: Climate Action,3695609,Traditional Craft Knowledge,Smart Village Grids,High,0.44
Bharat_Impact_NGO_0232,Odisha,SDG 4: Quality Education,4776897,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,Medium,0.61
Bharat_Impact_NGO_0233,West Bengal,SDG 17: Partnerships,1207738,Traditional Craft Knowledge,Smart Village Grids,Medium,0.29
Bharat_Impact_NGO_0234,Maharashtra,SDG 13: Climate Action,4764647,Rural Land Records,Smart Village Grids,Medium,0.77
Bharat_Impact_NGO_0235,Tamil Nadu,SDG 13: Climate Action,3681387,Localized Crop Yield Data,Agri-Tech Sensors,Low,0.82
Bharat_Impact_NGO_0236,Tamil Nadu,SDG 4: Quality Education,1706497,Self-Help Group (SHG) Networks,Agri-Tech Sensors,Medium,0.2
Bharat_Impact_NGO_0237,Rajasthan,SDG 13: Climate Action,440528,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,High,0.86
Bharat_Impact_NGO_0238,Odisha,SDG 17: Partnerships,1751595,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),Low,0.32
Bharat_Impact_NGO_0239,Gujarat,SDG 17: Partnerships,1898175,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),Low,0.2
Bharat_Impact_NGO_0240,Karnataka,SDG 17: Partnerships,2724693,Traditional Craft Knowledge,Vernacular AI Models,Low,0.74
Bharat_Impact_NGO_0241,West Bengal,SDG 17: Partnerships,4672189,Traditional Craft Knowledge,Agri-Tech Sensors,Low,0.32
Bharat_Impact_NGO_0242,Maharashtra,SDG 9: Industry & Innovation,1125502,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,Medium,0.81
Bharat_Impact_NGO_0243,Uttar Pradesh,SDG 17: Partnerships,599965,Rural Land Records,Agri-Tech Sensors,Medium,0.16
Bharat_Impact_NGO_0244,Rajasthan,SDG 4: Quality Education,3142443,Localized Crop Yield Data,Last-mile Fiber (BharatNet),High,0.2
Bharat_Impact_NGO_0245,Odisha,SDG 4: Quality Education,399629,Self-Help Group (SHG) Networks,Agri-Tech Sensors,High,0.5
Bharat_Impact_NGO_0246,Gujarat,SDG 4: Quality Education,4726314,Traditional Craft Knowledge,Vernacular AI Models,Medium,0.52
Bharat_Impact_NGO_0247,Bihar,SDG 9: Industry & Innovation,1643156,Localized Crop Yield Data,Vernacular AI Models,High,0.12
Bharat_Impact_NGO_0248,Tamil Nadu,SDG 17: Partnerships,359188,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),High,0.31
Bharat_Impact_NGO_0249,Karnataka,SDG 17: Partnerships,1386485,Traditional Craft Knowledge,Smart Village Grids,Low,0.24
Bharat_Impact_NGO_0250,Gujarat,SDG 17: Partnerships,2557669,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,High,0.12
Bharat_Impact_NGO_0251,Rajasthan,SDG 9: Industry & Innovation,4494966,Rural Land Records,Last-mile Fiber (BharatNet),High,0.73
Bharat_Impact_NGO_0252,Bihar,SDG 13: Climate Action,2210258,Vernacular Language Datasets,Agri-Tech Sensors,High,0.15
Bharat_Impact_NGO_0253,Rajasthan,SDG 13: Climate Action,1190442,Vernacular Language Datasets,Tier-3 City Cloud Infrastructure,Low,0.62
Bharat_Impact_NGO_0254,Gujarat,SDG 4: Quality Education,4867635,Localized Crop Yield Data,Vernacular AI Models,Low,0.86
Bharat_Impact_NGO_0255,Gujarat,SDG 13: Climate Action,2770832,Traditional Craft Knowledge,Tier-3 City Cloud Infrastructure,Low,0.19
Bharat_Impact_NGO_0256,Karnataka,SDG 9: Industry & Innovation,4664777,Rural Land Records,Smart Village Grids,Low,0.78
Bharat_Impact_NGO_0257,Odisha,SDG 9: Industry & Innovation,2888348,Traditional Craft Knowledge,Agri-Tech Sensors,Low,0.31
Bharat_Impact_NGO_0258,Gujarat,SDG 9: Industry & Innovation,2905442,Rural Land Records,Agri-Tech Sensors,Low,0.36
Bharat_Impact_NGO_0259,Kerala,SDG 13: Climate Action,1098269,Rural Land Records,Smart Village Grids,Medium,0.48
Bharat_Impact_NGO_0260,Gujarat,SDG 13: Climate Action,3348067,Traditional Craft Knowledge,Smart Village Grids,Low,0.51
Bharat_Impact_NGO_0261,Karnataka,SDG 9: Industry & Innovation,4266871,Traditional Craft Knowledge,Agri-Tech Sensors,Low,0.8
Bharat_Impact_NGO_0262,Tamil Nadu,SDG 13: Climate Action,719488,Rural Land Records,Tier-3 City Cloud Infrastructure,Medium,0.51
Bharat_Impact_NGO_0263,Tamil Nadu,SDG 4: Quality Education,3585031,Vernacular Language Datasets,Tier-3 City Cloud Infrastructure,High,0.74
Bharat_Impact_NGO_0264,Maharashtra,SDG 17: Partnerships,366056,Vernacular Language Datasets,Last-mile Fiber (BharatNet),Medium,0.89
Bharat_Impact_NGO_0265,Rajasthan,SDG 4: Quality Education,1305441,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),Medium,0.22
Bharat_Impact_NGO_0266,Rajasthan,SDG 4: Quality Education,3689882,Vernacular Language Datasets,Tier-3 City Cloud Infrastructure,Medium,0.17
Bharat_Impact_NGO_0267,Gujarat,SDG 9: Industry & Innovation,2916835,Rural Land Records,Last-mile Fiber (BharatNet),Low,0.27
Bharat_Impact_NGO_0268,Rajasthan,SDG 13: Climate Action,1339450,Localized Crop Yield Data,Smart Village Grids,Low,0.54
Bharat_Impact_NGO_0269,Uttar Pradesh,SDG 9: Industry & Innovation,3574381,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),Medium,0.15
Bharat_Impact_NGO_0270,Rajasthan,SDG 17: Partnerships,1113023,Localized Crop Yield Data,Agri-Tech Sensors,Low,0.19
Bharat_Impact_NGO_0271,Kerala,SDG 13: Climate Action,1905501,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,High,0.2
Bharat_Impact_NGO_0272,Rajasthan,SDG 9: Industry & Innovation,3021937,Traditional Craft Knowledge,Agri-Tech Sensors,Low,0.29
Bharat_Impact_NGO_0273,West Bengal,SDG 13: Climate Action,1936780,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,Low,0.59
Bharat_Impact_NGO_0274,Odisha,SDG 13: Climate Action,4629230,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,Low,0.18
Bharat_Impact_NGO_0275,Tamil Nadu,SDG 9: Industry & Innovation,4535098,Localized Crop Yield Data,Smart Village Grids,Medium,0.67
Bharat_Impact_NGO_0276,Karnataka,SDG 4: Quality Education,965222,Traditional Craft Knowledge,Smart Village Grids,Medium,0.89
Bharat_Impact_NGO_0277,Bihar,SDG 17: Partnerships,4966810,Vernacular Language Datasets,Last-mile Fiber (BharatNet),High,0.49
Bharat_Impact_NGO_0278,Bihar,SDG 9: Industry & Innovation,1696904,Rural Land Records,Last-mile Fiber (BharatNet),Medium,0.74
Bharat_Impact_NGO_0279,Karnataka,SDG 4: Quality Education,172476,Rural Land Records,Last-mile Fiber (BharatNet),Low,0.26
Bharat_Impact_NGO_0280,Kerala,SDG 13: Climate Action,4719502,Localized Crop Yield Data,Last-mile Fiber (BharatNet),High,0.51
Bharat_Impact_NGO_0281,Rajasthan,SDG 4: Quality Education,3652168,Traditional Craft Knowledge,Vernacular AI Models,High,0.26
Bharat_Impact_NGO_0282,Tamil Nadu,SDG 13: Climate Action,221920,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,Medium,0.37
Bharat_Impact_NGO_0283,Uttar Pradesh,SDG 13: Climate Action,1094612,Localized Crop Yield Data,Agri-Tech Sensors,High,0.85
Bharat_Impact_NGO_0284,Kerala,SDG 13: Climate Action,2227574,Rural Land Records,Vernacular AI Models,High,0.41
Bharat_Impact_NGO_0285,West Bengal,SDG 9: Industry & Innovation,281522,Traditional Craft Knowledge,Smart Village Grids,High,0.16
Bharat_Impact_NGO_0286,Uttar Pradesh,SDG 13: Climate Action,1054333,Rural Land Records,Last-mile Fiber (BharatNet),High,0.53
Bharat_Impact_NGO_0287,Maharashtra,SDG 9: Industry & Innovation,3283193,Localized Crop Yield Data,Smart Village Grids,Low,0.53
Bharat_Impact_NGO_0288,Uttar Pradesh,SDG 4: Quality Education,4852403,Vernacular Language Datasets,Agri-Tech Sensors,High,0.24
Bharat_Impact_NGO_0289,Gujarat,SDG 13: Climate Action,3414795,Rural Land Records,Agri-Tech Sensors,Medium,0.71
Bharat_Impact_NGO_0290,West Bengal,SDG 4: Quality Education,1263027,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,Medium,0.58
Bharat_Impact_NGO_0291,Odisha,SDG 17: Partnerships,985033,Localized Crop Yield Data,Last-mile Fiber (BharatNet),Low,0.54
Bharat_Impact_NGO_0292,Karnataka,SDG 13: Climate Action,622554,Traditional Craft Knowledge,Agri-Tech Sensors,Low,0.55
Bharat_Impact_NGO_0293,Karnataka,SDG 4: Quality Education,2401527,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),Medium,0.4
Bharat_Impact_NGO_0294,Rajasthan,SDG 17: Partnerships,78536,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),High,0.83
Bharat_Impact_NGO_0295,Uttar Pradesh,SDG 13: Climate Action,3865948,Vernacular Language Datasets,Last-mile Fiber (BharatNet),Medium,0.15
Bharat_Impact_NGO_0296,Uttar Pradesh,SDG 17: Partnerships,1245479,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,High,0.34
Bharat_Impact_NGO_0297,West Bengal,SDG 17: Partnerships,2049746,Vernacular Language Datasets,Tier-3 City Cloud Infrastructure,High,0.85
Bharat_Impact_NGO_0298,Uttar Pradesh,SDG 17: Partnerships,3650686,Localized Crop Yield Data,Agri-Tech Sensors,Medium,0.26
Bharat_Impact_NGO_0299,Uttar Pradesh,SDG 4: Quality Education,1250508,Rural Land Records,Tier-3 City Cloud Infrastructure,Low,0.23
Bharat_Impact_NGO_0300,Kerala,SDG 9: Industry & Innovation,2319705,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,Medium,0.26
Bharat_Impact_NGO_0301,Kerala,SDG 4: Quality Education,636625,Vernacular Language Datasets,Agri-Tech Sensors,Low,0.48
Bharat_Impact_NGO_0302,Gujarat,SDG 17: Partnerships,362794,Traditional Craft Knowledge,Vernacular AI Models,Medium,0.26
Bharat_Impact_NGO_0303,Gujarat,SDG 9: Industry & Innovation,3283592,Self-Help Group (SHG) Networks,Smart Village Grids,Medium,0.35
Bharat_Impact_NGO_0304,West Bengal,SDG 9: Industry & Innovation,2525993,Rural Land Records,Last-mile Fiber (BharatNet),High,0.61
Bharat_Impact_NGO_0305,Uttar Pradesh,SDG 4: Quality Education,3397178,Vernacular Language Datasets,Last-mile Fiber (BharatNet),Low,0.77
Bharat_Impact_NGO_0306,Maharashtra,SDG 4: Quality Education,2169208,Self-Help Group (SHG) Networks,Vernacular AI Models,High,0.29
Bharat_Impact_NGO_0307,Bihar,SDG 13: Climate Action,365753,Self-Help Group (SHG) Networks,Vernacular AI Models,High,0.78
Bharat_Impact_NGO_0308,West Bengal,SDG 13: Climate Action,3503793,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,Low,0.12
Bharat_Impact_NGO_0309,Odisha,SDG 13: Climate Action,4581452,Localized Crop Yield Data,Last-mile Fiber (BharatNet),Low,0.74
Bharat_Impact_NGO_0310,West Bengal,SDG 13: Climate Action,4049487,Vernacular Language Datasets,Vernacular AI Models,Low,0.46
Bharat_Impact_NGO_0311,West Bengal,SDG 9: Industry & Innovation,3158272,Self-Help Group (SHG) Networks,Vernacular AI Models,Low,0.52
Bharat_Impact_NGO_0312,Karnataka,SDG 17: Partnerships,2689221,Self-Help Group (SHG) Networks,Agri-Tech Sensors,Low,0.7
Bharat_Impact_NGO_0313,Tamil Nadu,SDG 9: Industry & Innovation,340799,Self-Help Group (SHG) Networks,Vernacular AI Models,High,0.13
Bharat_Impact_NGO_0314,West Bengal,SDG 13: Climate Action,486957,Vernacular Language Datasets,Tier-3 City Cloud Infrastructure,High,0.26
Bharat_Impact_NGO_0315,Uttar Pradesh,SDG 9: Industry & Innovation,1860694,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),Low,0.6
Bharat_Impact_NGO_0316,Odisha,SDG 9: Industry & Innovation,1098475,Traditional Craft Knowledge,Vernacular AI Models,High,0.46
Bharat_Impact_NGO_0317,Uttar Pradesh,SDG 9: Industry & Innovation,997655,Vernacular Language Datasets,Smart Village Grids,High,0.29
Bharat_Impact_NGO_0318,Bihar,SDG 9: Industry & Innovation,2643281,Vernacular Language Datasets,Smart Village Grids,Medium,0.1
Bharat_Impact_NGO_0319,Bihar,SDG 4: Quality Education,4975854,Traditional Craft Knowledge,Vernacular AI Models,Medium,0.54
Bharat_Impact_NGO_0320,Tamil Nadu,SDG 13: Climate Action,4287216,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,Low,0.63
Bharat_Impact_NGO_0321,Maharashtra,SDG 4: Quality Education,4045894,Rural Land Records,Last-mile Fiber (BharatNet),High,0.72
Bharat_Impact_NGO_0322,Kerala,SDG 4: Quality Education,2406787,Rural Land Records,Smart Village Grids,Low,0.22
Bharat_Impact_NGO_0323,Gujarat,SDG 9: Industry & Innovation,3195883,Rural Land Records,Agri-Tech Sensors,Medium,0.5
Bharat_Impact_NGO_0324,Gujarat,SDG 4: Quality Education,1615862,Traditional Craft Knowledge,Vernacular AI Models,Low,0.61
Bharat_Impact_NGO_0325,Kerala,SDG 17: Partnerships,4245295,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,High,0.12
Bharat_Impact_NGO_0326,Kerala,SDG 17: Partnerships,3734513,Localized Crop Yield Data,Last-mile Fiber (BharatNet),Medium,0.47
Bharat_Impact_NGO_0327,Odisha,SDG 17: Partnerships,4589958,Localized Crop Yield Data,Last-mile Fiber (BharatNet),High,0.84
Bharat_Impact_NGO_0328,Karnataka,SDG 4: Quality Education,2846394,Rural Land Records,Vernacular AI Models,Medium,0.74
Bharat_Impact_NGO_0329,West Bengal,SDG 13: Climate Action,554044,Localized Crop Yield Data,Smart Village Grids,High,0.51
Bharat_Impact_NGO_0330,Tamil Nadu,SDG 4: Quality Education,4313838,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),Low,0.66
Bharat_Impact_NGO_0331,West Bengal,SDG 13: Climate Action,4113765,Vernacular Language Datasets,Last-mile Fiber (BharatNet),Medium,0.76
Bharat_Impact_NGO_0332,Bihar,SDG 13: Climate Action,3144197,Self-Help Group (SHG) Networks,Vernacular AI Models,Low,0.26
Bharat_Impact_NGO_0333,Kerala,SDG 4: Quality Education,3973702,Self-Help Group (SHG) Networks,Smart Village Grids,High,0.7
Bharat_Impact_NGO_0334,Bihar,SDG 4: Quality Education,3503209,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,Low,0.83
Bharat_Impact_NGO_0335,Uttar Pradesh,SDG 9: Industry & Innovation,4665060,Rural Land Records,Last-mile Fiber (BharatNet),Medium,0.14
Bharat_Impact_NGO_0336,Odisha,SDG 9: Industry & Innovation,676273,Traditional Craft Knowledge,Vernacular AI Models,Low,0.61
Bharat_Impact_NGO_0337,Bihar,SDG 17: Partnerships,4609543,Rural Land Records,Tier-3 City Cloud Infrastructure,Low,0.21
Bharat_Impact_NGO_0338,Maharashtra,SDG 4: Quality Education,2529294,Rural Land Records,Vernacular AI Models,High,0.63
Bharat_Impact_NGO_0339,Maharashtra,SDG 17: Partnerships,2281670,Localized Crop Yield Data,Last-mile Fiber (BharatNet),High,0.44
Bharat_Impact_NGO_0340,Gujarat,SDG 17: Partnerships,4534113,Rural Land Records,Agri-Tech Sensors,Low,0.5
Bharat_Impact_NGO_0341,West Bengal,SDG 17: Partnerships,2588825,Vernacular Language Datasets,Smart Village Grids,High,0.84
Bharat_Impact_NGO_0342,Kerala,SDG 4: Quality Education,2695542,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),Medium,0.22
Bharat_Impact_NGO_0343,Uttar Pradesh,SDG 13: Climate Action,4368958,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),Medium,0.61
Bharat_Impact_NGO_0344,Uttar Pradesh,SDG 17: Partnerships,2822920,Traditional Craft Knowledge,Agri-Tech Sensors,Medium,0.82
Bharat_Impact_NGO_0345,Tamil Nadu,SDG 9: Industry & Innovation,3798694,Self-Help Group (SHG) Networks,Smart Village Grids,Low,0.12
Bharat_Impact_NGO_0346,Gujarat,SDG 4: Quality Education,1244228,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,High,0.41
Bharat_Impact_NGO_0347,Bihar,SDG 9: Industry & Innovation,4447837,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),Medium,0.54
Bharat_Impact_NGO_0348,Uttar Pradesh,SDG 17: Partnerships,1681297,Vernacular Language Datasets,Agri-Tech Sensors,Medium,0.62
Bharat_Impact_NGO_0349,Kerala,SDG 4: Quality Education,4054923,Self-Help Group (SHG) Networks,Tier-3 City Cloud Infrastructure,Low,0.63
Bharat_Impact_NGO_0350,Tamil Nadu,SDG 13: Climate Action,2618289,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),High,0.7
Bharat_Impact_NGO_0351,West Bengal,SDG 9: Industry & Innovation,1781926,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),High,0.73
Bharat_Impact_NGO_0352,Rajasthan,SDG 13: Climate Action,2152070,Vernacular Language Datasets,Agri-Tech Sensors,Low,0.55
Bharat_Impact_NGO_0353,Tamil Nadu,SDG 17: Partnerships,1727833,Vernacular Language Datasets,Tier-3 City Cloud Infrastructure,High,0.85
Bharat_Impact_NGO_0354,Karnataka,SDG 4: Quality Education,1561993,Traditional Craft Knowledge,Vernacular AI Models,Medium,0.29
Bharat_Impact_NGO_0355,Gujarat,SDG 9: Industry & Innovation,845126,Traditional Craft Knowledge,Agri-Tech Sensors,Low,0.44
Bharat_Impact_NGO_0356,Gujarat,SDG 4: Quality Education,3932560,Self-Help Group (SHG) Networks,Vernacular AI Models,Medium,0.36
Bharat_Impact_NGO_0357,Uttar Pradesh,SDG 17: Partnerships,2552162,Vernacular Language Datasets,Agri-Tech Sensors,Low,0.74
Bharat_Impact_NGO_0358,Karnataka,SDG 4: Quality Education,3098103,Vernacular Language Datasets,Last-mile Fiber (BharatNet),Medium,0.28
Bharat_Impact_NGO_0359,Maharashtra,SDG 4: Quality Education,2031930,Rural Land Records,Vernacular AI Models,High,0.64
Bharat_Impact_NGO_0360,Rajasthan,SDG 13: Climate Action,125284,Self-Help Group (SHG) Networks,Vernacular AI Models,High,0.35
Bharat_Impact_NGO_0361,Karnataka,SDG 17: Partnerships,4594340,Localized Crop Yield Data,Tier-3 City Cloud Infrastructure,Medium,0.52
Bharat_Impact_NGO_0362,West Bengal,SDG 4: Quality Education,4728687,Localized Crop Yield Data,Agri-Tech Sensors,Medium,0.54
Bharat_Impact_NGO_0363,Kerala,SDG 4: Quality Education,1793936,Vernacular Language Datasets,Smart Village Grids,Medium,0.73
Bharat_Impact_NGO_0364,Karnataka,SDG 4: Quality Education,1147513,Self-Help Group (SHG) Networks,Smart Village Grids,High,0.31
Bharat_Impact_NGO_0365,Odisha,SDG 17: Partnerships,595873,Localized Crop Yield Data,Vernacular AI Models,Low,0.82
Bharat_Impact_NGO_0366,Uttar Pradesh,SDG 13: Climate Action,2736031,Vernacular Language Datasets,Tier-3 City Cloud Infrastructure,Medium,0.31
Bharat_Impact_NGO_0367,Kerala,SDG 9: Industry & Innovation,595063,Self-Help Group (SHG) Networks,Smart Village Grids,Medium,0.14
Bharat_Impact_NGO_0368,Bihar,SDG 17: Partnerships,3485624,Localized Crop Yield Data,Smart Village Grids,Low,0.21
Bharat_Impact_NGO_0369,Rajasthan,SDG 17: Partnerships,2102715,Rural Land Records,Smart Village Grids,Medium,0.65
Bharat_Impact_NGO_0370,Maharashtra,SDG 13: Climate Action,807916,Vernacular Language Datasets,Last-mile Fiber (BharatNet),Low,0.68
Bharat_Impact_NGO_0371,Bihar,SDG 4: Quality Education,2683380,Vernacular Language Datasets,Tier-3 City Cloud Infrastructure,High,0.7
Bharat_Impact_NGO_0372,Bihar,SDG 13: Climate Action,3425396,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),High,0.15
Bharat_Impact_NGO_0373,Gujarat,SDG 4: Quality Education,3872625,Localized Crop Yield Data,Agri-Tech Sensors,Medium,0.36
Bharat_Impact_NGO_0374,Uttar Pradesh,SDG 17: Partnerships,1236624,Traditional Craft Knowledge,Smart Village Grids,High,0.74
Bharat_Impact_NGO_0375,Maharashtra,SDG 13: Climate Action,4213651,Traditional Craft Knowledge,Vernacular AI Models,Low,0.69
Bharat_Impact_NGO_0376,Karnataka,SDG 9: Industry & Innovation,2427527,Localized Crop Yield Data,Smart Village Grids,High,0.89
Bharat_Impact_NGO_0377,Bihar,SDG 13: Climate Action,2098529,Vernacular Language Datasets,Tier-3 City Cloud Infrastructure,Medium,0.65
Bharat_Impact_NGO_0378,Bihar,SDG 9: Industry & Innovation,3593578,Rural Land Records,Agri-Tech Sensors,High,0.76
Bharat_Impact_NGO_0379,Uttar Pradesh,SDG 4: Quality Education,3253669,Rural Land Records,Smart Village Grids,High,0.5
Bharat_Impact_NGO_0380,Tamil Nadu,SDG 17: Partnerships,1888432,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),Medium,0.11
Bharat_Impact_NGO_0381,Kerala,SDG 9: Industry & Innovation,705618,Vernacular Language Datasets,Last-mile Fiber (BharatNet),High,0.71
Bharat_Impact_NGO_0382,Bihar,SDG 4: Quality Education,3088282,Self-Help Group (SHG) Networks,Smart Village Grids,Low,0.69
Bharat_Impact_NGO_0383,West Bengal,SDG 13: Climate Action,236068,Vernacular Language Datasets,Smart Village Grids,Low,0.28
Bharat_Impact_NGO_0384,Tamil Nadu,SDG 17: Partnerships,4909089,Traditional Craft Knowledge,Smart Village Grids,High,0.49
Bharat_Impact_NGO_0385,Bihar,SDG 9: Industry & Innovation,4765471,Traditional Craft Knowledge,Last-mile Fiber (BharatNet),Low,0.48
Bharat_Impact_NGO_0386,Gujarat,SDG 17: Partnerships,841671,Self-Help Group (SHG) Networks,Last-mile Fiber (BharatNet),Low,0.56
Bharat_Impact_NGO_0387,Kerala,SDG 17: Partnerships,4788724,Rural Land Records,Vernacular AI Models,Low,0.72
Bharat_Impact_NGO_0388,Bihar,SDG 4: Quality Education,2507528,Localized Crop Yield Data,Vernacular AI Models,Low,0.51
